,Title,urls,Difficulty,Tags,Acceptance,Submission,Acceptance_Rate,Likes,Dislikes
0,1. Two Sum,/problems/two-sum,Easy,"['Array', 'Hash Table']",4555271,9640910,47.2%,22541,761
1,2. Add Two Numbers,/problems/add-two-numbers,Medium,"['Linked List', 'Math', 'Recursion']",2047557,5627989,36.3%,12777,2918
2,3. Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,Medium,"['Hash Table', 'String', 'Sliding Window']",2331754,7307416,31.9%,15813,779
3,4. Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,Hard,"['Array', 'Binary Search', 'Divide and Conquer']",1005436,3126681,32.1%,11228,1602
4,5. Longest Palindromic Substring,/problems/longest-palindromic-substring,Medium,"['String', 'Dynamic Programming']",1377382,4445450,31.0%,11998,741
5,6. ZigZag Conversion,/problems/zigzag-conversion,Medium,['String'],601008,1538680,39.0%,2590,6234
6,7. Reverse Integer,/problems/reverse-integer,Easy,['Math'],1630434,6254159,26.1%,5145,7767
7,8. String to Integer (atoi),/problems/string-to-integer-atoi,Medium,['String'],773552,4869709,15.9%,450,1225
8,9. Palindrome Number,/problems/palindrome-number,Easy,['Math'],1362686,2682573,50.7%,3602,1792
9,10. Regular Expression Matching,/problems/regular-expression-matching,Hard,"['String', 'Dynamic Programming', 'Recursion']",562175,2028643,27.7%,6165,879
10,11. Container With Most Water,/problems/container-with-most-water,Medium,"['Array', 'Two Pointers', 'Greedy']",1010742,1904985,53.1%,10527,747
11,12. Integer to Roman,/problems/integer-to-roman,Medium,"['Hash Table', 'Math', 'String']",518626,898283,57.7%,1974,3326
12,13. Roman to Integer,/problems/roman-to-integer,Easy,"['Hash Table', 'Math', 'String']",1055132,1838321,57.4%,1141,92
13,14. Longest Common Prefix,/problems/longest-common-prefix,Easy,['String'],1103063,2977486,37.0%,4736,2347
14,15. 3Sum,/problems/3sum,Medium,"['Array', 'Two Pointers', 'Sorting']",1381379,4781833,28.9%,11722,1158
15,16. 3Sum Closest,/problems/3sum-closest,Medium,"['Array', 'Two Pointers', 'Sorting']",613792,1320775,46.5%,3680,186
16,17. Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,Medium,"['Hash Table', 'String', 'Backtracking']",889968,1751224,50.8%,6673,548
17,18. 4Sum,/problems/4sum,Medium,"['Array', 'Two Pointers', 'Sorting']",438122,1221264,35.8%,3759,452
18,19. Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,Medium,"['Linked List', 'Two Pointers']",935580,2563645,36.5%,6046,334
19,20. Valid Parentheses,/problems/valid-parentheses,Easy,"['String', 'Stack']",1522139,3783213,40.2%,8181,335
20,21. Merge Two Sorted Lists,/problems/merge-two-sorted-lists,Easy,"['Linked List', 'Recursion']",1515313,2649317,57.1%,7506,819
21,22. Generate Parentheses,/problems/generate-parentheses,Medium,"['String', 'Dynamic Programming', 'Backtracking']",797223,1188287,67.0%,8808,360
22,23. Merge k Sorted Lists,/problems/merge-k-sorted-lists,Hard,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']",931488,2119905,43.9%,7890,369
23,24. Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,Medium,"['Linked List', 'Recursion']",642189,1176888,54.5%,4069,223
24,25. Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,Hard,"['Linked List', 'Recursion']",372578,799186,46.5%,4209,416
25,26. Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,Easy,"['Array', 'Two Pointers']",1537585,3249265,47.3%,4318,7503
26,27. Remove Element,/problems/remove-element,Easy,"['Array', 'Two Pointers']",915725,1833183,49.9%,2355,3782
